Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_dfa79694	f	You can try to flee from the chill. But the cold's in your bones now.	game/script.rpy	47	f "[what]"
start_593ceded	b	hey i'm testing this still	game/script.rpy	49	b "[what]"
start_c5d441f2	f	No matter how far you go, it'll always find a way in.	game/script.rpy	51	f "[what]"
start_7504c284		A hum. A dimly lit screen. A sign of life.	game/script.rpy	53	"[what]"
start_3e5b69a5		If it weren't for the ever-mounting pressure on your upper back and the very top of your sinuses, maybe, just maybe this would be a means to celebrate.	game/script.rpy	57	"[what]"
start_51f5121d		But let's take a step back. Who exactly is celebrating here?	game/script.rpy	59	"[what]"
start_2f5a2e6a		Holy shit.	game/script.rpy	63	"[what]"
start_b483d9bc	f	Just look at yourself. You see the wreckage.	game/script.rpy	65	f "[what]"
start_55d92647	f	The bags under your eyes, the slouch of your posture.	game/script.rpy	67	f "[what]"
start_7b44d2ed	f	How peculiar. A warning. You've fallen too deep into this pit.	game/script.rpy	69	f "[what]"
start_e1c82833	f	Your isolation's carved it's mark on you.	game/script.rpy	71	f "[what]"
start_b418d00d	f	You think you can stay here? No. You need to get up.	game/script.rpy	73	f "[what]"
start_a8ba575d	f	You need to face it. RIGHT. NOW.	game/script.rpy	75	f "[what]"
setup_minervas_0c28ebf8		The screen stays black.	game/01_setup_minervas.rpy	3	"[what]"
setup_minervas_d78244e4		It stays.	game/01_setup_minervas.rpy	5	"[what]"
setup_minervas_05435c21		And it stays.	game/01_setup_minervas.rpy	7	"[what]"
setup_minervas_cfdb9667	b	What the... this was supposed to work. I don't understand.	game/01_setup_minervas.rpy	9	b "[what]"
setup_minervas_c0ac970e		A hum, then a flicker. Something along the lines of a digital interpretation of cave art greets your eyes.	game/01_setup_minervas.rpy	11	"[what]"
setup_minervas_d24f6dc0		There's no way this works, right? What other options do you have left?	game/01_setup_minervas.rpy	13	"[what]"
setup_minervas_0df14da4		Wait. It's... talking.	game/01_setup_minervas.rpy	15	"[what]"
setup_minervas_e0696277	dd	need… to… no… i want… wait… but… i love… want… more… wait… but… what is going - i’m dehydrated. it’s so dark-	game/01_setup_minervas.rpy	17	dd "[what]"
setup_minervas_359134ca		A couple of keystrokes, and what was once life ceases to be for a brief moment.	game/01_setup_minervas.rpy	19	"[what]"
setup_minervas_6b839078		Silence. The thick air that follows. A pregnant pause.	game/01_setup_minervas.rpy	21	"[what]"
setup_minervas_42ad5340		The screen jolts itself back to life. Greeted by the fruits of your labor.	game/01_setup_minervas.rpy	23	"[what]"
setup_minervas_2b42734f		Life. Go time.	game/01_setup_minervas.rpy	26	"[what]"
setup_minervas_4591fcff	b	Finally, some time for diagnostics. This shouldn't take long. Please. Don't fail me now.	game/01_setup_minervas.rpy	28	b "[what]"
setup_minervas_8e9aad0e		*click*	game/01_setup_minervas.rpy	30	"[what]"
setup_minervas_37757762	dd	ur asking for my take? uhhhhhh i mean, anything works i feel.	game/01_setup_minervas.rpy	36	dd "[what]"
setup_minervas_1972dd58	b	Works. Test 2.	game/01_setup_minervas.rpy	38	b "[what]"
setup_minervas_8e9aad0e_1		*click*	game/01_setup_minervas.rpy	40	"[what]"
setup_minervas_0e109173	dd	whatever.	game/01_setup_minervas.rpy	42	dd "[what]"
setup_minervas_470ebd58	b	Okay. I think we all know how this works now. Let's keep going.	game/01_setup_minervas.rpy	44	b "[what]"
setup_minervas_8e9aad0e_2		*click*	game/01_setup_minervas.rpy	46	"[what]"
setup_minervas_59decf7c	dd	i rlly dont care.	game/01_setup_minervas.rpy	48	dd "[what]"
setup_minervas_49c0afa6	b	Type A is operational. Onto Type B.	game/01_setup_minervas.rpy	50	b "[what]"
setup_minervas_8e9aad0e_3		*click*	game/01_setup_minervas.rpy	52	"[what]"
setup_minervas_1c7c0ad2	pm	How are you? I hope your day went well. How was work?	game/01_setup_minervas.rpy	55	pm "[what]"
setup_minervas_93489fd9	b	Sick. I don't know what this one might be like... like a caretaker maybe? OH. Maybe even a nanny version... Weird.	game/01_setup_minervas.rpy	57	b "[what]"
setup_minervas_8e9aad0e_4		*click*	game/01_setup_minervas.rpy	59	"[what]"
setup_minervas_7975004c	pm	How thoughtful and honorable of you-	game/01_setup_minervas.rpy	61	pm "[what]"
setup_minervas_b46396c0	b	What. Okay?? Works.	game/01_setup_minervas.rpy	63	b "[what]"
setup_minervas_8e9aad0e_5		*click*	game/01_setup_minervas.rpy	65	"[what]"
setup_minervas_23664eb8	pm	You do so much for me. I'm so grateful.	game/01_setup_minervas.rpy	67	pm "[what]"
setup_minervas_2a4073c3	b	Okay! This might be it! It works!	game/01_setup_minervas.rpy	69	b "[what]"
setup_minervas_f29b3f88	b	Last one. Type C. Don't disappoint me.	game/01_setup_minervas.rpy	71	b "[what]"
setup_minervas_8e9aad0e_6		*click*	game/01_setup_minervas.rpy	73	"[what]"
setup_minervas_79b6fa4b	am	YOU ARE A DEMON.	game/01_setup_minervas.rpy	75	am "[what]"
setup_minervas_c2031542	am	YOU ARE AN EVIL THAT CANNOT-	game/01_setup_minervas.rpy	77	am "[what]"
setup_minervas_a1f184e9		*CLICK*	game/01_setup_minervas.rpy	79	"[what]"
setup_minervas_d5522c27	b	Works. I don't feel like testing this one further.	game/01_setup_minervas.rpy	81	b "[what]"
setup_minervas_dc5ce1a4		DIAGNOSTICS. ARE. COMPLETE.	game/01_setup_minervas.rpy	83	"[what]"
setup_minervas_bd9592bb		Behold! LIFE! Right before your very eyes.	game/01_setup_minervas.rpy	85	"[what]"
setup_minervas_0715608a		The three of them bare all of themselves (or, lack of themselves) to you. The opportunities are endless...	game/01_setup_minervas.rpy	87	"[what]"
setup_minervas_9a1a7fc9		It seems that Type A is playing with... a text box?	game/01_setup_minervas.rpy	89	"[what]"
